Kreis,GDP 2022
Stuttgart,58703.587
Böblingen,29582.502
Esslingen,27010.925
Göppingen,9005.138
Ludwigsburg,26245.037
Rems-Murr-Kreis,16541.107
Heilbronn,19364.981693907543
Hohenlohekreis,6489.785
Schwäbisch Hall,10200.716
Main-Tauber-Kreis,5945.915
Heidenheim,5330.695
Ostalbkreis,15956.162
Baden-Baden,3261.412
Karlsruhe,20566.44026345526
Rastatt,11188.647
Heidelberg,10012.807
Mannheim,22756.748
Neckar-Odenwald-Kreis,4910.663
Rhein-Neckar-Kreis,24060.656
Pforzheim,6295.733
Calw,5182.169
Enzkreis,6674.981
Freudenstadt,5285.453
Freiburg im Breisgau,14608.055
Breisgau-Hochschwarzwald,8712.07
Emmendingen,6205.869
Ortenaukreis,20231.116
Rottweil,6569.101
Schwarzwald-Baar-Kreis,9158.037
Tuttlingen,7312.448
Konstanz,11697.168
Lörrach,8477.5
Waldshut,5850.997
Reutlingen,12730.726
Tübingen,8973.654
Zollernalbkreis,7641.158
Ulm,11419.642
Alb-Donau-Kreis,7038.939
Biberach,12589.753
Bodenseekreis,11558.133
Ravensburg,14952.751
Sigmaringen,5632.762
Ingolstadt,19584.126
München,120894.48232390216
Rosenheim,8880.473506160643
Altötting,7540.539
Berchtesgadener Land,4179.747
Bad Tölz-Wolfratshausen,4288.938
Dachau,5162.758
Ebersberg,5647.491
Eichstätt,5886.208
Erding,5074.391
Freising,10564.409
Fürstenfeldbruck,6976.502
Garmisch-Partenkirchen,3101.386
Landsberg am Lech,5061.979
Miesbach,4247.202
Mühldorf a. Inn,4639.401
Neuburg-Schrobenhausen,4037.547
Pfaffenhofen a.d. Ilm,5707.018
Starnberg,7138.204
Traunstein,8559.112
Weilheim-Schongau,6214.383
Landshut,7365.985559754393
Passau,6370.577078482106
Straubing,2858.109
Deggendorf,6002.499
Freyung-Grafenau,2886.134
Kelheim,5020.364
Regen,2990.611
Rottal-Inn,5174.095
Straubing-Bogen,3446.857
Dingolfing-Landau,7200.609
Amberg,2922.943
Regensburg,9503.209418622448
Weiden i.d. OPf.,2698.372
Amberg-Sulzbach,3423.338
Cham,6247.637
Neumarkt i.d. OPf.,6207.643
Neustadt a.d. Waldnaab,3619.652
Schwandorf,6115.222
Tirschenreuth,3534.191
Bamberg,4663.247374970546
Bayreuth,3601.895837870057
Coburg,3325.5155844565525
Hof,3324.03768228166
Forchheim,4214.59
Kronach,2445.659
Kulmbach,2931.574
Lichtenfels,2713.281
Wunsiedel i. Fichtelgebirge,2949.371
Ansbach,6024.521832560482
Erlangen,12307.305
Fürth,4358.74526107185
Nürnberg,34715.968
Schwabach,1710.819
Erlangen-Höchstadt,5739.511
Nürnberger Land,6198.871
Neustadt a.d. Aisch-Bad Windsheim,3657.065
Roth,4557.155
Weißenburg-Gunzenhausen,3360.977
Aschaffenburg,6437.396842396203
Schweinfurt,3722.7020107326457
Würzburg,7102.729826089605
Bad Kissingen,3866.671
Rhön-Grabfeld,3707.229
Haßberge,2970.935
Kitzingen,3708.656
Miltenberg,5010.425
Main-Spessart,5286.872
Augsburg,12335.434838931686
Kaufbeuren,1893.828
Kempten (Allgäu),4141.616
Memmingen,2970.591
Aichach-Friedberg,4521.5
Dillingen a.d. Donau,3968.83
Günzburg,5946.606
Neu-Ulm,7035.111
Lindau (Bodensee),3476.347
Ostallgäu,6025.21
Unterallgäu,6586.216
Donau-Ries,7485.732
Oberallgäu,5799.903
Berlin,178922.669
Brandenburg an der Havel,2636.913
Cottbus,4071.797
Frankfurt (Oder),2441.672
Potsdam,8672.018
Barnim,4930.82
Dahme-Spreewald,7328.484
Elbe-Elster,2944.263
Havelland,3976.555
Märkisch-Oderland,5013.538
Oberhavel,6910.256
Oberspreewald-Lausitz,3295.257
Oder-Spree,6992.767
Ostprignitz-Ruppin,3082.703
Potsdam-Mittelmark,6455.079
Prignitz,2521.151
Spree-Neiße,5365.651
Teltow-Fläming,6970.123
Uckermark,5118.358
Bremen,27982.99465659877
Hamburg,148291.771
Darmstadt,14076.517
Frankfurt am Main,80232.187
Offenbach,13775.454700269782
Wiesbaden,20760.561
Bergstraße,8923.74
Darmstadt-Dieburg,10002.34
Groß-Gerau,12971.483
Hochtaunuskreis,12494.935
Main-Kinzig-Kreis,17374.702
Main-Taunus-Kreis,15287.048
Odenwaldkreis,2761.672
Rheingau-Taunus-Kreis,5105.628
Wetteraukreis,10722.711
Gießen,11063.874
Lahn-Dill-Kreis,9974.183
Limburg-Weilburg,6072.537
Marburg-Biedenkopf,10416.159
Vogelsbergkreis,3351.309
Kassel,9706.83928118178
Fulda,9787.278
Hersfeld-Rotenburg,5567.155
Schwalm-Eder-Kreis,6621.582
Waldeck-Frankenberg,6882.213
Werra-Meißner-Kreis,2927.272
Rostock,8262.373984260474
Schwerin,4464.832
Mecklenburgische Seenplatte,8620.818
Vorpommern-Rügen,6817.27
Nordwestmecklenburg,4743.684
Vorpommern-Greifswald,7056.111
Ludwigslust-Parchim,6479.123
Braunschweig,19881.623
Salzgitter,5573.482
Wolfsburg,18673.648
Gifhorn,4611.098
Goslar,4311.814
Helmstedt,2279.385
Northeim,4124.241
Peine,3451.004
Wolfenbüttel,2856.659
Göttingen,12897.691
Diepholz,7750.326
Hameln-Pyrmont,5338.33
Hildesheim,8742.225
Holzminden,2520.987
Nienburg (Weser),4448.043
Schaumburg,4490.124
Region Hannover,60234.888
Celle,6409.106
Cuxhaven,5815.991
Harburg,7327.1
Lüchow-Dannenberg,1396.916
Lüneburg,6209.535
Osterholz,2732.962
Rotenburg (Wümme),6408.964
Heidekreis,5870.402
Stade,7990.303
Uelzen,3171.381
Verden,4968.573
Delmenhorst,2106.903
Emden,3583.02
Oldenburg,6989.23083434752
Osnabrück,12021.715080475658
Wilhelmshaven,3592.125
Ammerland,4809.111
Aurich,5934.713
Cloppenburg,7135.658
Emsland,18855.914
Friesland,3186.024
Grafschaft Bentheim,5504.191
Leer,5802.536
Vechta,7778.741
Wesermarsch,3483.432
Wittmund,1817.218
Düsseldorf,58429.972
Duisburg,20865.159
Essen,28097.635
Krefeld,9919.514
Mönchengladbach,10211.102
Mülheim an der Ruhr,6843.851
Oberhausen,6386.093
Remscheid,4403.333
Solingen,5537.042
Wuppertal,14084.134
Kleve,11346.929
Mettmann,22542.642
Rhein-Kreis Neuss,20130.577
Viersen,9687.675
Wesel,15409.414
Bonn,27430.658
Köln,74262.655
Leverkusen,8388.227
Düren,8953.548
Rhein-Erft-Kreis,19790.372
Euskirchen,6088.873
Heinsberg,7754.692
Oberbergischer Kreis,10715.389
Rheinisch-Bergischer Kreis,8666.162
Rhein-Sieg-Kreis,19394.441
Städteregion Aachen,23910.311
Bottrop,3104.993
Gelsenkirchen,9887.417
Münster,20183.979
Borken,16266.695
Coesfeld,7458.982
Recklinghausen,18350.739
Steinfurt,17369.081
Warendorf,10007.125
Bielefeld,15615.884
Gütersloh,19803.8
Herford,9605.62
Höxter,4483.573
Lippe,11990.009
Minden-Lübbecke,15006.52
Paderborn,12868.417
Bochum,15559.375
Dortmund,26687.428
Hagen,7406.931
Hamm,5876.625
Herne,4619.942
Ennepe-Ruhr-Kreis,10692.527
Hochsauerlandkreis,10917.72
Märkischer Kreis,16016.379
Olpe,6331.855
Siegen-Wittgenstein,12091.338
Soest,12431.139
Unna,14101.634
Koblenz,9302.225
Ahrweiler,3985.775
Altenkirchen (Westerwald),3903.72
Bad Kreuznach,5477.329
Birkenfeld,2591.711
Mayen-Koblenz,7492.881
Neuwied,6864.487
Rhein-Lahn-Kreis,3892.423
Westerwaldkreis,7989.681
Cochem-Zell,2292.277
Rhein-Hunsrück-Kreis,4224.311
Trier,5251.319
Bernkastel-Wittlich,4070.885
Eifelkreis Bitburg-Prüm,3352.349
Vulkaneifel,2203.076
Trier-Saarburg,3586.312
Frankenthal (Pfalz),1956.694
Kaiserslautern,3910.219642180404
Landau in der Pfalz,2405.673
Ludwigshafen am Rhein,11775.234
Mainz,24621.493
Neustadt an der Weinstraße,1834.156
Pirmasens,1614.959
Speyer,3132.935
Worms,3713.323
Zweibrücken,1974.798
Alzey-Worms,3693.716
Bad Dürkheim,3257.946
Donnersbergkreis,2159.127
Germersheim,5923.04
Kusel,1420.061
Südliche Weinstraße,3342.405
Rhein-Pfalz-Kreis,3291.417
Mainz-Bingen,9523.306
Südwestpfalz,1703.036
Regionalverband Saarbrücken,15991.836
Merzig-Wadern,3125.053
Neunkirchen,3755.615
Saarlouis,6836.524
Saarpfalz-Kreis,6449.825
St. Wendel,2672.324
Dresden,26404.625
Bautzen,9319.023
Görlitz,8857.376
Meißen,7952.222
Sächsische Schweiz-Osterzgebirge,6581.29
Chemnitz,10053.312
Erzgebirgskreis,9007.042
Mittelsachsen,9524.954
Vogtlandkreis,6607.097
Zwickau,11090.425
Leipzig,20221.9895151707
Nordsachsen,7249.656
Dessau-Roßlau,2751.639
Halle (Saale),8571.547
Magdeburg,9593.475
Altmarkkreis Salzwedel,2509.332
Anhalt-Bitterfeld,6170.333
Jerichower Land,2722.705
Börde,6269.247
Burgenlandkreis,5313.208
Harz,5936.457
Mansfeld-Südharz,3473.776
Saalekreis,8164.298
Salzlandkreis,5530.887
Stendal,3678.081
Wittenberg,3817.412
Flensburg,4353.447
Kiel,13189.756
Lübeck,12438.372
Neumünster,4094.549
Dithmarschen,6015.666
Herzogtum Lauenburg,5429.604
Nordfriesland,7177.055
Ostholstein,6412.381
Pinneberg,10584.288
Plön,3102.85
Rendsburg-Eckernförde,9821.962
Schleswig-Flensburg,6615.46
Segeberg,10257.621
Steinburg,4436.782
Stormarn,9772.033
Erfurt,10032.797
Gera,3177.473
Jena,5753.738
Weimar,2268.732
Eichsfeld,2985.315
Nordhausen,2494.211
Unstrut-Hainich-Kreis,2941.215
Kyffhäuserkreis,1974.215
Gotha,4344.417
Sömmerda,2020.922
Hildburghausen,1358.58
Weimarer Land,2579.587
Saale-Holzland-Kreis,2324.017
Saale-Orla-Kreis,2767.45
Greiz,2520.765
Altenburger Land,2206.022
Schmalkalden-Meiningen,3815.597
Wartburgkreis,5756.451
Suhl,1259.931
Ilm-Kreis,3667.618
Saalfeld-Rudolstadt,3154.812
Sonneberg,1655.768
