Kreis,Fläche pro Kreis (qkm),Bevölkerung (insgesamt),Bevölkerung (männlich),Bevölkerung (weiblich),Bevölkerung (je qkm)
Ahrweiler,787.03,129353,63855,65498,164.0
Aichach-Friedberg,780.23,136803,68122,68681,175.0
Alb-Donau-Kreis,1358.54,202354,101708,100646,149.0
Altenburger Land,569.42,87508,42448,45060,154.0
Altenkirchen (Westerwald),642.38,132125,65563,66562,206.0
Altmarkkreis Salzwedel,2304.44,79980,39712,40268,35.0
Altötting,569.28,113938,56554,57384,200.0
Alzey-Worms,588.07,131238,65114,66124,223.0
Amberg,50.14,42553,20890,21663,849.0
Amberg-Sulzbach,1255.85,103982,51958,52024,83.0
Ammerland,730.65,127751,62524,65227,175.0
Anhalt-Bitterfeld,1461.47,153035,74985,78050,105.0
Ansbach,2071.23,228375,113813,114562,503.0
Aschaffenburg,761.35,244036,120410,123626,1415.0
Augsburg,1217.59,563916,279271,284645,2295.0
Aurich,1287.35,188816,92834,95982,147.0
Bad Dürkheim,594.64,134329,65964,68365,226.0
Bad Kissingen,1136.9,103489,50913,52576,91.0
Bad Kreuznach,863.89,164748,80845,83903,191.0
Bad Tölz-Wolfratshausen,1110.67,130248,64304,65944,117.0
Baden-Baden,140.19,56881,27107,29774,406.0
Bamberg,1222.4299999999998,224927,111654,113273,1539.0
Barnim,1479.58,194169,95588,98581,131.0
Bautzen,2395.59,292608,144258,148350,122.0
Bayreuth,1342.39,176155,87095,89060,1171.0
Berchtesgadener Land,839.83,105292,51509,53783,125.0
Bergstraße,719.47,274169,135499,138670,381.0
Berlin,891.12,3685265,1810259,1875006,4136.0
Bernkastel-Wittlich,1167.93,113187,56576,56611,97.0
Biberach,1409.52,207415,104534,102881,147.0
Bielefeld,258.83,331605,161011,170594,1281.0
Birkenfeld,776.83,82611,40778,41833,106.0
Bochum,145.66,358676,176530,182146,2462.0
Bodenseekreis,664.77,220804,108578,112226,332.0
Bonn,141.06,323336,155766,167570,2292.0
Borken,1420.98,380796,190679,190117,268.0
Bottrop,100.61,118535,57615,60920,1178.0
Brandenburg an der Havel,229.73,74113,36154,37959,323.0
Braunschweig,192.7,252962,125170,127792,1313.0
Breisgau-Hochschwarzwald,1378.32,272558,134223,138335,198.0
Bremen,419.61,704881,348661,356220,3012.0
Burgenlandkreis,1419.92,173684,85097,88587,122.0
Böblingen,617.76,395167,196289,198878,640.0
Börde,2376.9,167924,83570,84354,71.0
Calw,797.29,161251,80392,80859,202.0
Celle,1550.83,172449,84218,88231,111.0
Cham,1526.83,128534,64621,63913,84.0
Chemnitz,221.03,245618,120585,125033,1111.0
Cloppenburg,1420.34,177025,89995,87030,125.0
Coburg,638.7099999999999,125532,61927,63605,993.0
Cochem-Zell,692.44,61608,30814,30794,89.0
Coesfeld,1112.04,227859,112586,115273,205.0
Cottbus,165.61,95123,46134,48989,574.0
Cuxhaven,2058.96,198842,97356,101486,97.0
Dachau,579.16,153595,76759,76836,265.0
Dahme-Spreewald,2274.5,178793,88616,90177,79.0
Darmstadt,122.07,167029,85330,81699,1368.0
Darmstadt-Dieburg,658.64,302021,149541,152480,459.0
Deggendorf,861.17,121844,61102,60742,141.0
Delmenhorst,62.45,81406,40106,41300,1304.0
Dessau-Roßlau,245.78,75402,36058,39344,307.0
Diepholz,1991.02,221202,109490,111712,111.0
Dillingen a.d. Donau,792.23,98899,49565,49334,125.0
Dingolfing-Landau,877.58,101035,52011,49024,115.0
Dithmarschen,1428.17,133460,65838,67622,93.0
Donau-Ries,1274.57,135098,68441,66657,106.0
Donnersbergkreis,645.41,74783,37027,37756,116.0
Dortmund,280.71,603462,297860,305602,2150.0
