Kreis,count,mean_zust,median_zust,mean_age
Region Hannover,524,2.3265267175572517,2.3,44.26335877862596
Göttingen,383,2.343342036553525,2.3,40.64229765013055
Osnabrück,381,2.1923884514435694,2.2,47.800524934383205
Steinfurt,378,2.1574074074074074,2.2,44.66931216931217
Bremen,349,2.2742120343839543,2.3,44.3810888252149
Karlsruhe,341,2.0149560117302054,2.0,44.03519061583578
Kreisfreie Stadt Frankfurt Main,334,2.53622754491018,2.5,46.40119760479042
Recklinghausen,334,2.329940119760479,2.4,44.64670658682635
Rhein-Sieg-Kreis,327,2.2691131498470947,2.3,53.477064220183486
Main - Kinzig - Kreis,326,2.2592024539877302,2.3,43.987730061349694
Rhein-Neckar-Kreis,320,2.1246875,2.2,43.171875
Emsland,319,2.212225705329154,2.3,37.294670846394986
Köln,315,2.2504761904761903,2.3,48.03809523809524
Ortenaukreis,315,2.215873015873016,2.3,44.81269841269841
Landkreis Oberallgäu,313,2.212779552715655,2.2,49.533546325878596
Mettmann,307,2.1332247557003257,2.2,47.153094462540714
Rhein-Erft-Kreis,296,2.1364864864864863,2.2,40.317567567567565
MAYEN-KOBLENZ,288,2.372916666666667,2.3,54.15972222222222
Wetteraukreis,284,2.246830985915493,2.3,46.33098591549296
Landkreis Fulda,281,2.108896797153025,2.1,48.04270462633452
Landkreis Berchtesgadener Land,277,2.203249097472924,2.2,56.72924187725632
Ravensburg,273,1.9098901098901098,2.0,33.57509157509158
Hamburg,272,2.326470588235294,2.4,44.29044117647059
Dortmund,271,2.4125461254612546,2.4,49.08856088560886
Schwalm-Eder-Kreis,265,2.1237735849056603,2.2,45.01509433962264
Wesel,264,2.1314393939393943,2.2,48.34848484848485
Landkreis Gießen,263,2.1942965779467682,2.2,44.52091254752852
Für Berlin nicht vorhanden!,261,2.3111111111111113,2.4,47.64367816091954
Landkreis Hersfeld-Rotenburg,261,2.31455938697318,2.3,50.54022988505747
Landkreis Bamberg,260,2.3426923076923076,2.4,42.63846153846154
Landkreis Kassel,260,2.005,2.0,43.996153846153845
Gütersloh,259,1.9104247104247105,2.0,35.75289575289575
WESTERWALDKREIS,257,2.227626459143969,2.2,55.447470817120625
Unna,254,2.312992125984252,2.3,49.08267716535433
Goslar,251,2.403187250996016,2.4,54.235059760956176
Landkreis Potsdam-Mittelmark,248,1.9471774193548386,2.0,31.254032258064516
Rhein-Kreis Neuss,247,2.1611336032388664,2.2,42.26720647773279
Lahn - Dill - Kreis,247,2.477732793522267,2.5,46.797570850202426
Soest,245,2.0783673469387756,2.1,53.2
Landkreis Bautzen,240,1.9241666666666668,1.9,28.929166666666667
Duisburg,235,2.3251063829787233,2.3,45.01276595744681
Saalekreis,234,2.2824786324786324,2.3,25.581196581196583
Landkreis Mittelsachsen,232,2.1810344827586206,2.2,40.76724137931034
Kreis Rendsburg-Eckernförde,228,2.1469298245614037,2.2,46.17982456140351
Landkreis Hof,225,2.272,2.3,34.16888888888889
Landkreis Schwandorf,225,2.377333333333333,2.4,36.18666666666667
Landkreis München,225,2.2586666666666666,2.3,37.111111111111114
Esslingen,223,2.3408071748878925,2.3,45.2152466367713
BERNKASTEL-WITTLICH,220,2.0513636363636363,2.0,43.71818181818182
Börde,219,2.238812785388128,2.3,24.730593607305938
Breisgau-Hochschwarzwald,216,2.3046296296296296,2.3,50.58796296296296
Harburg,216,2.1907407407407407,2.2,54.467592592592595
Lörrach,216,2.250462962962963,2.2,47.93055555555556
Paderborn,215,2.1009302325581394,2.1,47.693023255813955
Vogtlandkreis,214,2.095327102803738,2.0,40.677570093457945
Landkreis Rosenheim,214,2.263084112149533,2.3499999999999996,41.626168224299064
Landkreis Zwickau,213,2.1666666666666665,2.2,30.309859154929576
EIFELKREIS BITBURG-PRÜM,212,2.124056603773585,2.2,44.155660377358494
Landkreis Ostallgäu,212,2.07688679245283,2.1,36.18396226415094
Hildesheim,212,2.305188679245283,2.3,52.25
Konstanz,211,2.4696682464454978,2.5,41.45023696682465
Northeim,210,2.2461904761904763,2.3,46.51904761904762
Landkreis Ansbach,210,2.375238095238095,2.4,44.93809523809524
Landkreis Regensburg,210,2.3528571428571428,2.4,42.41904761904762
Borken,210,1.9880952380952381,2.0,38.48571428571429
Hochsauerlandkreis,209,2.070334928229665,2.2,38.78468899521531
Landkreis Traunstein,208,2.286538461538462,2.3,47.19711538461539
Werra-Meißner-Kreis,208,2.1490384615384617,2.2,37.17307692307692
Landkreis Offenbach,207,2.416425120772947,2.4,42.46376811594203
Ostalb,207,2.388405797101449,2.3,43.03864734299517
Landkreis Passau,206,2.237378640776699,2.2,39.53398058252427
Landkreis Nürnberger Land,204,2.3715686274509804,2.4,42.78921568627451
Landkreis Leipzig,203,2.016256157635468,2.0,26.773399014778324
Regionalverband Saarbruecken,202,2.5653465346534654,2.5,54.92079207920792
Höxter,202,1.965841584158416,2.0,47.415841584158414
Kleve,201,2.150248756218905,2.2,50.33830845771144
Heidekreis,199,2.309045226130653,2.3,58.94472361809045
Landkreis Landshut,196,2.0280612244897958,2.0,33.02040816326531
Landkreis Freising,195,2.258974358974359,2.3,39.36923076923077
TRIER-SAARBURG,195,2.1717948717948716,2.2,50.82051282051282
NEUWIED,195,2.221025641025641,2.2,44.805128205128206
Minden-Lübbecke,193,2.1958549222797927,2.2,43.20725388601036
Landkreis Ludwigslust-Parchim,193,2.366321243523316,2.4,32.66839378238342
Kreis Ostholstein,192,2.3755208333333333,2.4,43.052083333333336
Heilbronn,192,2.3046875,2.3,49.614583333333336
Lippe,192,1.9901041666666668,2.0,42.442708333333336
Landkreis Bergstrasse,189,2.211111111111111,2.2,48.10582010582011
Landkreis Neumarkt i.d.OPf.,187,2.2935828877005346,2.3,43.160427807486634
AHRWEILER,186,2.325268817204301,2.3,49.983870967741936
Erzgebirgskreis,185,2.2475675675675677,2.3,47.924324324324324
Landkreis Görlitz,184,1.8255434782608695,1.85,27.516304347826086
Landkreis Marburg - Biedenkopf,183,1.8530054644808744,1.9,32.40983606557377
Märkischer Kreis,181,2.4082872928176795,2.4,55.06077348066298
Vogelsbergkreis,180,1.9016666666666668,2.0,39.672222222222224
Euskirchen,179,2.1681564245810057,2.2,47.910614525139664
Landkreis Neustadt a.d.Waldnaab,179,2.398324022346369,2.4,39.55307262569833
Böblingen,179,2.369832402234637,2.3,40.039106145251395
Landkreis Kitzingen,178,2.310674157303371,2.3,40.140449438202246
Biberach,177,1.9418079096045198,2.0,43.45762711864407
Landkreis Schweinfurt,177,2.1994350282485877,2.3,37.40677966101695
Landkreis Rottal-Inn,177,1.910169491525424,1.9,39.045197740113
Landkreis Bad Tölz-Wolfratshausen,176,2.284659090909091,2.3,46.68181818181818
Landkreis Pfaffenhofen a.d.Ilm,176,2.196022727272727,2.3,44.76136363636363
Städteregion Aachen,176,2.2397727272727272,2.2,42.73863636363637
Bodenseekreis,175,1.9291428571428573,2.0,38.651428571428575
Landkreis Waldeck-Frankenberg,175,1.921142857142857,2.0,44.691428571428574
Schwarzwald-Baar-Kreis,175,2.358857142857143,2.3,44.61142857142857
RHEIN-HUNSRÜCK-KREIS,172,2.088372093023256,2.1,44.401162790697676
Landkreis Kelheim,172,2.183720930232558,2.3,40.46511627906977
Landkreis Groß - Gerau,172,2.4284883720930233,2.5,49.81976744186046
Burgenlandkreis,170,2.333529411764706,2.4,27.770588235294117
Landkreis Meißen,170,2.135882352941177,2.2,29.152941176470588
Harz,169,2.295266272189349,2.3,30.846153846153847
Landkreis Weilheim-Schongau,169,2.262130177514793,2.3,35.23668639053255
